ACCOUNT_ID,CUSTOMER_ID,INIT_BALANCE,COUNTRY,ACCOUNT_TYPE,IS_SAR,BANK_ID
0,C_0,23512.34,SWE,I,false,bank
1,C_1,41638.22,SWE,I,false,bank
2,C_2,34793.33,SWE,I,false,bank
3,C_3,57312.84,SWE,I,false,bank
4,C_4,93481.29,SWE,I,false,bank
5,C_5,81783.42,SWE,I,false,bank
6,C_6,97276.69,SWE,I,false,bank
7,C_7,93753.51,SWE,I,false,bank
8,C_8,12288.07,SWE,I,false,bank
9,C_9,91764.00,SWE,I,false,bank
10,C_10,75032.06,SWE,I,false,bank
11,C_11,57246.58,SWE,I,false,bank
12,C_12,16477.50,SWE,I,false,bank
13,C_13,71626.23,SWE,I,false,bank
14,C_14,29541.96,SWE,I,false,bank
15,C_15,36940.57,SWE,I,false,bank
16,C_16,15394.83,SWE,I,false,bank
17,C_17,72320.31,SWE,I,false,bank
18,C_18,78299.77,SWE,I,false,bank
19,C_19,9643.91,SWE,I,false,bank
20,C_20,51524.73,SWE,I,false,bank
21,C_21,44625.67,SWE,I,false,bank
22,C_22,74113.02,SWE,I,false,bank
23,C_23,39188.19,SWE,I,false,bank
24,C_24,47781.60,SWE,I,false,bank
25,C_25,41235.47,SWE,I,false,bank
26,C_26,72973.17,SWE,I,false,bank
27,C_27,51552.19,SWE,I,false,bank
28,C_28,71201.67,SWE,I,false,bank
29,C_29,41830.83,SWE,I,false,bank
30,C_30,41346.53,SWE,I,false,bank
31,C_31,43243.04,SWE,I,false,bank
32,C_32,36384.78,SWE,I,false,bank
33,C_33,85252.25,SWE,I,false,bank
34,C_34,22867.83,SWE,I,false,bank
35,C_35,29376.38,SWE,I,false,bank
36,C_36,32989.96,SWE,I,false,bank
37,C_37,63600.74,SWE,I,false,bank
38,C_38,74566.67,SWE,I,false,bank
39,C_39,11073.94,SWE,I,false,bank
40,C_40,99611.82,SWE,I,false,bank
41,C_41,63826.94,SWE,I,false,bank
42,C_42,8265.19,SWE,I,false,bank
43,C_43,63434.65,SWE,I,false,bank
44,C_44,26896.00,SWE,I,false,bank
45,C_45,55633.64,SWE,I,false,bank
46,C_46,7294.57,SWE,I,false,bank
47,C_47,62043.14,SWE,I,false,bank
48,C_48,74349.57,SWE,I,false,bank
49,C_49,80925.27,SWE,I,false,bank
50,C_50,76146.83,SWE,I,false,bank
51,C_51,92243.92,SWE,I,false,bank
52,C_52,72140.04,SWE,I,false,bank
53,C_53,9930.30,SWE,I,false,bank
54,C_54,74398.04,SWE,I,false,bank
55,C_55,31827.18,SWE,I,false,bank
56,C_56,47738.79,SWE,I,true,bank
57,C_57,5760.83,SWE,I,false,bank
58,C_58,69604.21,SWE,I,false,bank
59,C_59,75758.37,SWE,I,false,bank
60,C_60,53910.49,SWE,I,false,bank
61,C_61,24392.23,SWE,I,false,bank
62,C_62,22453.69,SWE,I,false,bank
63,C_63,24081.94,SWE,I,false,bank
64,C_64,31355.15,SWE,I,false,bank
65,C_65,21521.98,SWE,I,false,bank
66,C_66,55029.64,SWE,I,false,bank
67,C_67,5012.73,SWE,I,false,bank
68,C_68,50686.33,SWE,I,false,bank
69,C_69,15295.01,SWE,I,false,bank
70,C_70,73561.95,SWE,I,false,bank
71,C_71,65069.70,SWE,I,false,bank
72,C_72,60342.59,SWE,I,false,bank
73,C_73,63969.85,SWE,I,false,bank
74,C_74,43072.04,SWE,I,false,bank
75,C_75,83560.28,SWE,I,false,bank
76,C_76,31919.43,SWE,I,false,bank
77,C_77,87533.75,SWE,I,true,bank
78,C_78,15130.48,SWE,I,false,bank
79,C_79,48012.46,SWE,I,false,bank
80,C_80,71148.70,SWE,I,false,bank
81,C_81,63619.05,SWE,I,false,bank
82,C_82,40084.16,SWE,I,false,bank
83,C_83,9724.97,SWE,I,false,bank
84,C_84,73751.16,SWE,I,false,bank
85,C_85,31016.37,SWE,I,false,bank
86,C_86,12491.63,SWE,I,false,bank
87,C_87,13460.21,SWE,I,false,bank
88,C_88,22213.81,SWE,I,false,bank
89,C_89,85683.52,SWE,I,false,bank
90,C_90,27888.97,SWE,I,false,bank
91,C_91,89693.00,SWE,I,false,bank
92,C_92,84064.19,SWE,I,false,bank
93,C_93,49013.78,SWE,I,false,bank
94,C_94,66332.19,SWE,I,false,bank
95,C_95,45737.26,SWE,I,false,bank
96,C_96,12246.90,SWE,I,false,bank
97,C_97,42269.03,SWE,I,false,bank
98,C_98,54511.03,SWE,I,false,bank
99,C_99,44127.23,SWE,I,false,bank
100,C_100,79390.67,SWE,I,false,bank
101,C_101,42686.80,SWE,I,false,bank
102,C_102,49762.49,SWE,I,false,bank
103,C_103,84091.20,SWE,I,false,bank
104,C_104,65146.06,SWE,I,false,bank
105,C_105,45903.56,SWE,I,false,bank
106,C_106,17801.28,SWE,I,false,bank
107,C_107,64488.19,SWE,I,false,bank
108,C_108,20047.68,SWE,I,false,bank
109,C_109,20983.97,SWE,I,false,bank
110,C_110,67171.35,SWE,I,false,bank
111,C_111,65852.80,SWE,I,false,bank
112,C_112,85545.93,SWE,I,false,bank
113,C_113,93102.51,SWE,I,false,bank
114,C_114,78211.35,SWE,I,false,bank
115,C_115,15670.73,SWE,I,false,bank
116,C_116,57432.60,SWE,I,false,bank
117,C_117,24728.47,SWE,I,false,bank
118,C_118,77431.72,SWE,I,false,bank
119,C_119,47289.72,SWE,I,false,bank
120,C_120,3906.65,SWE,I,false,bank
121,C_121,47549.29,SWE,I,false,bank
122,C_122,32781.40,SWE,I,false,bank
123,C_123,76143.55,SWE,I,false,bank
124,C_124,68293.19,SWE,I,false,bank
125,C_125,53044.54,SWE,I,false,bank
126,C_126,97003.36,SWE,I,false,bank
127,C_127,20308.27,SWE,I,false,bank
128,C_128,19963.78,SWE,I,false,bank
129,C_129,36576.59,SWE,I,false,bank
130,C_130,70680.16,SWE,I,false,bank
131,C_131,73218.37,SWE,I,false,bank
132,C_132,25485.70,SWE,I,false,bank
133,C_133,85961.78,SWE,I,false,bank
134,C_134,4206.08,SWE,I,false,bank
135,C_135,99046.76,SWE,I,false,bank
136,C_136,65862.69,SWE,I,false,bank
137,C_137,11982.98,SWE,I,false,bank
138,C_138,66027.28,SWE,I,false,bank
139,C_139,97773.42,SWE,I,false,bank
140,C_140,21232.41,SWE,I,false,bank
141,C_141,26019.98,SWE,I,false,bank
142,C_142,72090.13,SWE,I,false,bank
143,C_143,19435.12,SWE,I,false,bank
144,C_144,10959.11,SWE,I,false,bank
145,C_145,1257.60,SWE,I,false,bank
146,C_146,95750.36,SWE,I,false,bank
147,C_147,76030.49,SWE,I,false,bank
148,C_148,50230.41,SWE,I,false,bank
149,C_149,22297.18,SWE,I,false,bank
150,C_150,16088.63,SWE,I,false,bank
151,C_151,79837.25,SWE,I,false,bank
152,C_152,25859.87,SWE,I,false,bank
153,C_153,98410.04,SWE,I,false,bank
154,C_154,83408.04,SWE,I,false,bank
155,C_155,46327.50,SWE,I,false,bank
156,C_156,23175.74,SWE,I,false,bank
157,C_157,26871.13,SWE,I,false,bank
158,C_158,2678.64,SWE,I,false,bank
159,C_159,7084.91,SWE,I,false,bank
160,C_160,50710.27,SWE,I,false,bank
161,C_161,27744.43,SWE,I,false,bank
162,C_162,2999.20,SWE,I,false,bank
163,C_163,66081.48,SWE,I,false,bank
164,C_164,98589.09,SWE,I,false,bank
165,C_165,44131.26,SWE,I,false,bank
166,C_166,7307.06,SWE,I,false,bank
167,C_167,97044.63,SWE,I,false,bank
168,C_168,72989.68,SWE,I,false,bank
169,C_169,62565.35,SWE,I,false,bank
170,C_170,95767.75,SWE,I,false,bank
171,C_171,13704.75,SWE,I,false,bank
172,C_172,33066.70,SWE,I,false,bank
173,C_173,51720.85,SWE,I,false,bank
174,C_174,1548.59,SWE,I,false,bank
175,C_175,58947.65,SWE,I,false,bank
176,C_176,62034.10,SWE,I,false,bank
177,C_177,65544.65,SWE,I,false,bank
178,C_178,31004.49,SWE,I,false,bank
179,C_179,22528.32,SWE,I,false,bank
180,C_180,36382.17,SWE,I,false,bank
181,C_181,26205.61,SWE,I,false,bank
182,C_182,48029.66,SWE,I,false,bank
183,C_183,37091.17,SWE,I,false,bank
184,C_184,93773.17,SWE,I,false,bank
185,C_185,55344.39,SWE,I,false,bank
186,C_186,90600.96,SWE,I,false,bank
187,C_187,51835.43,SWE,I,false,bank
188,C_188,70713.67,SWE,I,false,bank
189,C_189,90361.81,SWE,I,false,bank
190,C_190,9709.61,SWE,I,false,bank
191,C_191,62485.97,SWE,I,false,bank
192,C_192,11770.77,SWE,I,false,bank
193,C_193,26149.53,SWE,I,false,bank
194,C_194,47768.47,SWE,I,false,bank
195,C_195,43507.18,SWE,I,false,bank
196,C_196,18209.75,SWE,I,false,bank
197,C_197,45662.59,SWE,I,false,bank
198,C_198,17402.94,SWE,I,false,bank
199,C_199,96140.20,SWE,I,false,bank
200,C_200,43584.06,SWE,I,false,bank
201,C_201,57674.65,SWE,I,false,bank
202,C_202,69517.34,SWE,I,false,bank
203,C_203,93281.34,SWE,I,false,bank
204,C_204,4279.19,SWE,I,false,bank
205,C_205,38695.06,SWE,I,false,bank
206,C_206,39564.71,SWE,I,false,bank
207,C_207,1727.35,SWE,I,false,bank
208,C_208,76655.04,SWE,I,false,bank
209,C_209,98803.52,SWE,I,false,bank
210,C_210,91694.74,SWE,I,false,bank
211,C_211,40715.87,SWE,I,false,bank
212,C_212,97370.18,SWE,I,true,bank
213,C_213,91804.89,SWE,I,false,bank
214,C_214,74984.52,SWE,I,false,bank
215,C_215,25260.78,SWE,I,false,bank
216,C_216,56235.24,SWE,I,true,bank
217,C_217,22028.95,SWE,I,false,bank
218,C_218,40647.29,SWE,I,false,bank
219,C_219,38848.22,SWE,I,false,bank
220,C_220,98389.86,SWE,I,false,bank
221,C_221,3577.22,SWE,I,false,bank
222,C_222,11521.47,SWE,I,false,bank
223,C_223,90751.33,SWE,I,false,bank
224,C_224,85483.27,SWE,I,false,bank
225,C_225,83483.39,SWE,I,false,bank
226,C_226,87481.58,SWE,I,false,bank
227,C_227,84230.40,SWE,I,false,bank
228,C_228,49774.02,SWE,I,false,bank
229,C_229,28935.25,SWE,I,false,bank
230,C_230,47748.66,SWE,I,false,bank
231,C_231,39148.28,SWE,I,false,bank
232,C_232,73720.66,SWE,I,false,bank
233,C_233,17013.80,SWE,I,false,bank
234,C_234,66238.05,SWE,I,false,bank
235,C_235,43681.91,SWE,I,false,bank
236,C_236,54203.08,SWE,I,false,bank
237,C_237,21263.26,SWE,I,false,bank
238,C_238,55913.64,SWE,I,false,bank
239,C_239,47875.82,SWE,I,false,bank
240,C_240,56202.19,SWE,I,false,bank
241,C_241,79116.94,SWE,I,false,bank
242,C_242,83200.65,SWE,I,false,bank
243,C_243,27019.13,SWE,I,false,bank
244,C_244,42538.31,SWE,I,false,bank
245,C_245,22735.52,SWE,I,false,bank
246,C_246,97612.18,SWE,I,false,bank
247,C_247,8876.41,SWE,I,false,bank
248,C_248,33959.16,SWE,I,false,bank
249,C_249,28413.36,SWE,I,false,bank
250,C_250,88800.13,SWE,I,false,bank
251,C_251,3741.49,SWE,I,false,bank
252,C_252,78975.02,SWE,I,false,bank
253,C_253,19195.21,SWE,I,false,bank
254,C_254,76861.84,SWE,I,false,bank
255,C_255,53033.20,SWE,I,false,bank
256,C_256,68110.64,SWE,I,false,bank
257,C_257,4317.01,SWE,I,false,bank
258,C_258,98301.86,SWE,I,false,bank
259,C_259,12866.42,SWE,I,false,bank
260,C_260,82296.60,SWE,I,false,bank
261,C_261,98373.35,SWE,I,false,bank
262,C_262,15649.23,SWE,I,false,bank
263,C_263,8001.26,SWE,I,false,bank
264,C_264,9626.94,SWE,I,false,bank
265,C_265,58801.79,SWE,I,false,bank
266,C_266,84201.51,SWE,I,false,bank
267,C_267,94286.87,SWE,I,false,bank
268,C_268,61105.79,SWE,I,false,bank
269,C_269,42692.11,SWE,I,false,bank
270,C_270,96944.77,SWE,I,false,bank
271,C_271,6261.77,SWE,I,false,bank
272,C_272,80814.05,SWE,I,false,bank
273,C_273,78671.47,SWE,I,false,bank
274,C_274,59345.89,SWE,I,false,bank
275,C_275,48945.33,SWE,I,false,bank
276,C_276,39110.10,SWE,I,false,bank
277,C_277,21123.50,SWE,I,false,bank
278,C_278,56452.87,SWE,I,false,bank
279,C_279,29928.17,SWE,I,false,bank
280,C_280,63552.86,SWE,I,false,bank
281,C_281,85668.72,SWE,I,false,bank
282,C_282,9091.22,SWE,I,false,bank
283,C_283,45103.89,SWE,I,false,bank
284,C_284,88758.11,SWE,I,false,bank
285,C_285,17603.11,SWE,I,false,bank
286,C_286,7502.12,SWE,I,false,bank
287,C_287,36211.66,SWE,I,false,bank
288,C_288,92493.10,SWE,I,false,bank
289,C_289,21659.37,SWE,I,false,bank
290,C_290,3404.20,SWE,I,false,bank
291,C_291,37062.69,SWE,I,false,bank
292,C_292,11278.00,SWE,I,false,bank
293,C_293,71510.82,SWE,I,false,bank
294,C_294,13050.82,SWE,I,false,bank
295,C_295,17403.16,SWE,I,false,bank
