Count,In-degree,Out-degree
11951,0,2
4797,0,3
1207,0,4
457,0,5
224,0,6
111,0,7
59,0,8
43,0,9
35,0,10
15,0,11
10,0,12
6,0,13
8,0,14
6,0,15
5,0,16
4,0,17
3,0,18
3,0,19
2,0,20
2,0,21
1,0,25
2,0,27
2,0,31
1,0,32
1,0,36
1,0,39
128,1,0
24115,1,1
9781,1,2
2470,1,3
918,1,4
432,1,5
215,1,6
101,1,7
85,1,8
38,1,9
34,1,10
22,1,11
17,1,12
9,1,13
17,1,14
5,1,15
2,1,16
2,1,17
7,1,18
7,1,19
5,1,20
3,1,21
5,1,23
1,1,24
1,1,25
4,1,26
1,1,27
1,1,30
1,1,32
1,1,34
1,1,36
2,1,40
1,1,45
1,1,50
1,1,67
11532,2,0
9643,2,1
2492,2,2
922,2,3
404,2,4
224,2,5
127,2,6
96,2,7
51,2,8
39,2,9
35,2,10
14,2,11
14,2,12
13,2,13
12,2,14
6,2,15
6,2,16
5,2,17
4,2,18
7,2,19
2,2,20
1,2,21
2,2,22
2,2,23
1,2,24
3,2,27
1,2,28
1,2,29
1,2,30
1,2,32
1,2,37
1,2,39
1,2,55
1,2,72
4834,3,0
2442,3,1
862,3,2
438,3,3
230,3,4
138,3,5
81,3,6
43,3,7
34,3,8
28,3,9
17,3,10
19,3,11
7,3,12
12,3,13
10,3,14
5,3,15
5,3,16
1,3,17
3,3,18
3,3,19
3,3,20
1,3,21
3,3,22
1,3,24
1,3,25
2,3,27
3,3,29
1,3,30
4,3,31
1,3,35
1,3,36
1,3,37
1,3,44
2,3,46
1179,4,0
800,4,1
405,4,2
220,4,3
133,4,4
86,4,5
48,4,6
38,4,7
26,4,8
24,4,9
13,4,10
9,4,11
9,4,12
7,4,13
5,4,14
5,4,15
6,4,16
3,4,17
2,4,18
1,4,19
3,4,20
1,4,21
2,4,22
3,4,23
1,4,24
1,4,25
1,4,26
1,4,28
1,4,29
1,4,32
2,4,43
1,4,44
1,4,51
1,4,55
1,4,70
1,4,77
1,4,135
449,5,0
399,5,1
197,5,2
136,5,3
86,5,4
56,5,5
27,5,6
20,5,7
23,5,8
21,5,9
7,5,10
7,5,11
6,5,12
9,5,13
5,5,14
4,5,15
2,5,16
3,5,17
3,5,18
3,5,19
3,5,22
1,5,25
1,5,27
1,5,28
1,5,29
1,5,31
1,5,34
1,5,41
1,5,49
1,5,65
1,5,102
193,6,0
220,6,1
104,6,2
90,6,3
56,6,4
48,6,5
24,6,6
18,6,7
15,6,8
11,6,9
13,6,10
3,6,11
8,6,12
5,6,13
4,6,14
1,6,15
3,6,16
2,6,17
4,6,18
2,6,19
2,6,21
2,6,22
1,6,24
1,6,25
1,6,27
1,6,29
1,6,38
1,6,55
1,6,108
125,7,0
118,7,1
75,7,2
45,7,3
44,7,4
29,7,5
33,7,6
15,7,7
9,7,8
11,7,9
9,7,10
6,7,11
5,7,12
9,7,13
2,7,14
2,7,15
3,7,16
1,7,17
3,7,18
2,7,19
1,7,22
1,7,23
1,7,25
2,7,26
2,7,28
1,7,31
1,7,33
1,7,34
1,7,36
1,7,37
1,7,63
60,8,0
78,8,1
51,8,2
41,8,3
27,8,4
15,8,5
11,8,6
9,8,7
6,8,8
8,8,9
2,8,10
5,8,12
4,8,13
5,8,14
3,8,17
1,8,19
2,8,22
1,8,23
1,8,25
1,8,29
1,8,47
38,9,0
43,9,1
41,9,2
27,9,3
21,9,4
18,9,5
12,9,6
12,9,7
8,9,8
5,9,9
4,9,10
4,9,11
3,9,12
7,9,13
3,9,14
2,9,16
3,9,18
1,9,19
1,9,22
1,9,23
1,9,25
1,9,27
2,9,29
1,9,37
1,9,42
1,9,43
1,9,52
1,9,87
1,9,105
24,10,0
41,10,1
21,10,2
16,10,3
20,10,4
15,10,5
8,10,6
7,10,7
5,10,8
5,10,9
1,10,10
4,10,11
5,10,12
2,10,13
1,10,14
2,10,17
1,10,18
1,10,19
1,10,21
2,10,24
2,10,28
1,10,54
19,11,0
20,11,1
15,11,2
18,11,3
11,11,4
8,11,5
9,11,6
4,11,7
4,11,8
2,11,9
5,11,10
5,11,11
2,11,12
2,11,13
1,11,14
1,11,15
2,11,16
1,11,19
1,11,20
1,11,24
1,11,25
1,11,28
1,11,29
1,11,71
1,11,77
1,11,93
14,12,0
28,12,1
11,12,2
11,12,3
13,12,4
8,12,5
5,12,6
2,12,7
3,12,8
1,12,9
4,12,10
4,12,11
1,12,12
2,12,16
1,12,17
1,12,19
2,12,23
2,12,24
1,12,28
1,12,29
2,12,35
1,12,42
14,13,0
19,13,1
10,13,2
11,13,3
6,13,4
6,13,5
8,13,6
3,13,7
5,13,8
5,13,10
1,13,11
2,13,12
1,13,13
3,13,14
1,13,17
2,13,18
1,13,23
1,13,32
1,13,43
1,13,52
6,14,0
16,14,1
3,14,2
4,14,3
3,14,4
1,14,5
1,14,6
1,14,7
3,14,8
3,14,9
1,14,11
1,14,12
2,14,14
1,14,17
1,14,18
2,14,23
1,14,25
1,14,35
1,14,43
1,14,45
1,14,51
1,14,52
1,14,53
1,14,74
4,15,0
13,15,1
6,15,2
8,15,3
2,15,4
5,15,5
1,15,6
3,15,7
4,15,8
2,15,10
2,15,11
1,15,13
2,15,14
1,15,15
1,15,16
1,15,19
1,15,58
1,15,72
8,16,0
4,16,1
2,16,2
3,16,3
6,16,4
6,16,5
2,16,6
4,16,7
1,16,10
3,16,12
1,16,13
1,16,15
1,16,19
1,16,22
1,16,32
1,16,45
1,16,60
1,16,206
1,16,518
2,17,0
7,17,1
6,17,2
6,17,3
3,17,4
7,17,5
3,17,7
2,17,10
1,17,12
2,17,14
1,17,16
1,17,17
1,17,18
2,17,27
1,17,98
1,17,161
2,18,0
3,18,1
4,18,2
5,18,3
1,18,4
3,18,5
3,18,6
1,18,7
2,18,8
3,18,9
1,18,11
1,18,13
1,18,16
1,18,18
1,18,25
1,18,27
1,18,36
5,19,0
4,19,1
3,19,2
5,19,3
4,19,4
1,19,5
2,19,6
1,19,7
1,19,8
2,19,9
2,19,13
3,19,14
1,19,15
2,19,16
1,19,19
1,19,20
1,19,22
1,19,27
1,19,46
1,19,76
2,20,0
3,20,1
4,20,2
2,20,3
1,20,4
2,20,5
1,20,6
3,20,7
1,20,20
1,20,22
1,21,0
3,21,1
1,21,2
2,21,3
1,21,4
1,21,6
1,21,7
2,21,9
1,21,12
2,21,13
1,21,16
1,21,17
1,21,21
1,21,22
2,21,24
1,21,26
1,21,30
1,21,65
2,22,0
3,22,1
2,22,2
1,22,4
4,22,5
3,22,6
2,22,7
1,22,10
2,22,12
2,22,13
1,22,20
1,22,23
1,22,24
1,22,37
1,22,48
1,23,0
4,23,1
4,23,2
1,23,3
1,23,4
1,23,5
3,23,7
1,23,8
1,23,11
2,23,14
2,23,15
1,23,20
1,23,21
1,23,25
1,23,68
1,23,104
3,24,1
2,24,2
3,24,4
1,24,5
2,24,6
2,24,8
1,24,18
1,24,25
1,24,29
1,24,30
1,24,165
1,25,0
1,25,2
1,25,4
2,25,6
2,25,7
2,25,9
1,25,21
1,25,39
1,26,0
4,26,1
1,26,2
2,26,4
1,26,5
1,26,6
3,26,7
1,26,8
1,26,9
1,26,14
1,26,18
1,26,23
1,26,28
1,26,31
2,27,0
2,27,1
1,27,3
2,27,4
1,27,5
1,27,8
1,27,13
1,27,20
1,27,21
1,27,94
2,28,1
2,28,3
1,28,4
1,28,6
1,28,7
1,28,17
1,28,19
1,28,21
1,29,1
1,29,3
1,29,6
1,29,14
1,29,18
1,29,22
1,29,24
1,29,46
1,30,2
1,30,3
1,30,6
1,30,7
1,30,10
1,30,13
1,30,20
1,30,34
1,31,3
2,31,6
1,31,9
2,31,11
1,31,13
1,31,14
1,31,19
1,31,37
1,31,62
1,32,0
1,32,2
1,32,3
1,32,5
1,32,6
1,32,16
1,32,25
1,33,3
2,33,4
1,33,6
1,33,8
1,33,10
1,33,22
1,33,23
1,33,28
1,33,44
1,33,168
1,34,1
1,34,14
1,34,21
1,34,22
1,35,1
1,35,2
1,35,3
1,35,9
1,35,57
1,36,0
1,36,4
2,36,10
1,36,11
1,36,24
1,36,60
1,36,105
2,37,0
2,37,2
1,37,8
1,37,14
2,37,15
1,37,27
1,37,29
2,38,2
1,38,10
1,38,12
1,38,15
1,38,16
1,38,65
2,39,5
1,39,10
1,39,30
1,40,2
1,40,10
1,40,17
1,40,77
2,41,1
1,41,6
1,42,6
2,42,7
1,43,2
1,43,7
1,43,57
1,44,1
1,44,19
1,44,357
1,45,2
1,45,19
1,45,45
1,46,1
1,46,2
2,46,3
1,46,22
1,46,48
1,46,68
1,47,6
1,47,20
1,48,2
1,48,22
1,49,22
1,50,1
1,50,6
1,50,18
1,50,28
1,50,76
1,51,3
1,51,16
1,51,34
1,52,8
1,52,21
1,52,38
1,53,0
1,53,22
1,53,165
1,55,92
1,56,5
1,56,66
1,58,26
1,59,16
1,60,4
1,60,34
1,60,86
1,61,25
1,61,88
1,62,10
2,65,17
1,65,32
1,65,52
1,65,56
1,66,10
1,66,53
1,67,1
1,67,94
1,68,21
1,69,8
1,69,423
1,72,148
2,73,5
1,73,134
1,74,506
1,75,2
1,75,4
1,76,27
1,76,29
1,78,58
1,82,21
1,84,12
1,88,119
1,89,4
1,89,19
1,89,39
1,91,111
1,92,12
1,92,71
1,94,2
1,94,8
1,98,502
1,99,69
1,102,45
1,106,14
1,109,83
1,116,15
1,116,442
1,120,6
1,123,89
1,126,54
1,126,230
1,126,274
1,128,18
1,130,28
1,132,84
1,144,9
1,144,41
1,144,108
1,148,50
1,151,104
1,162,4
1,175,22
1,189,42
1,203,48
1,214,266
1,231,4
1,236,28
1,301,60
1,309,174
1,404,151
1,489,52
1,622,26
1,805,10
