sum,mean,median,std,max,min,in_degree,out_degree,n_unique_in,n_unique_out,is_sar
10818.15,772.725,806.14,357.5573957960617,1421.83,79.49,14,0,2,0,0
9210.64,575.665,441.24,739.9899390847598,1791.65,-1263.06,14,2,2,2,0
8557.03,713.0858333333334,724.215,602.4862860371834,1425.27,-755.24,11,1,2,1,0
5114.65,365.33214285714286,722.6949999999999,993.0830639143518,1391.26,-1979.71,12,2,2,2,1
8672.24,578.1493333333333,567.01,747.5319271678221,1989.39,-1057.06,13,2,2,2,0
4016.02,502.0025,457.38,211.5448971427646,810.27,200.2,8,0,2,0,0
7215.46,721.546,591.595,490.3980806605543,1671.82,145.38,10,0,2,0,0
12784.619999999999,710.2566666666667,977.03,417.5422933984899,1419.92,20.37,18,0,2,0,0
8280.39,591.4564285714285,651.4649999999999,810.1083442127891,1986.77,-1267.57,12,2,2,2,1
7606.62,633.885,475.225,379.79795754393604,1215.5,235.5,12,0,2,0,0
10990.41,686.900625,640.56,469.3666201946158,1493.18,20.5,16,0,2,0,0
8092.05,674.3375,574.435,435.2638158242758,1490.96,189.63,12,0,3,0,1
11137.77,586.1984210526316,858.99,795.0546184610572,1775.81,-1234.89,16,3,2,3,1
7864.88,655.4066666666666,607.815,466.1799694096561,1676.93,112.15,12,0,2,0,0
8700.16,725.0133333333333,662.41,567.1829824561725,1875.18,37.78,12,0,3,0,1
5985.98,427.57,446.96500000000003,438.78648732787855,1204.89,-652.07,13,1,3,1,1
10919.27,909.9391666666667,763.4300000000001,569.2623030883252,2217.57,103.35,12,0,2,0,0
10826.61,832.8161538461538,1056.28,687.3920590359194,1598.93,-838.61,12,1,2,1,0
7303.530000000001,486.90200000000004,545.75,614.9517083502226,1311.88,-1311.88,14,1,2,1,0
8360.07,597.1478571428571,590.235,407.0191028625744,1317.23,110.3,14,0,3,0,1
14905.75,573.2980769230769,402.76,227.55693597900694,1043.99,402.76,26,0,2,0,0
7744.01,407.57947368421054,276.66,489.15505872057565,1825.16,3.54,19,0,2,0,0
14107.880000000001,940.5253333333334,1299.88,607.5782458706353,1569.58,-835.63,14,1,2,1,0
6168.22,186.9157575757576,108.36,161.48227640809188,686.03,108.36,33,0,2,0,0
7912.18,565.1557142857143,864.27,620.8937579342847,1173.49,-1083.52,13,1,2,1,0
97075.71,915.8085849056604,940.5,88.86862034903176,940.5,460.8,106,0,2,0,0
10185.84,599.1670588235294,614.99,577.0594873447267,1438.86,-723.43,15,2,3,2,1
6201.73,689.0811111111111,591.85,393.31948774007003,1691.32,382.27,9,0,2,0,0
2329.45,332.7785714285714,56.21,671.2875251690732,1621.01,-427.18,5,2,2,2,1
7482.610000000001,534.4721428571429,571.22,244.40021670576354,983.37,27.29,14,0,2,0,0
19603.95,576.5867647058824,529.48,401.0812314664826,1717.47,-922.8,33,1,2,1,0
9143.08,761.9233333333333,710.7850000000001,519.2042669199462,1948.55,9.78,12,0,2,0,0
12605.72,600.2723809523809,886.02,383.78708520356395,1057.71,12.4,21,0,3,0,1
12000.779999999999,750.0487499999999,1057.8,572.3588306167732,1192.44,-1080.24,15,1,2,1,0
8862.45,590.83,619.4,571.4772221932509,1696.77,48.77,15,0,3,0,1
5058.860000000001,632.3575000000001,438.28,453.4068363511958,1447.2,129.88,8,0,2,0,0
11855.89,697.405294117647,973.66,979.1904528749607,2065.74,-1601.39,14,3,2,3,1
37305.17,1332.3274999999999,1437.28,316.3266430931096,1707.06,402.22,28,0,2,0,0
6965.15,535.7807692307692,509.73,636.8030376741506,1263.29,-1294.81,12,1,2,1,1
78774.68000000001,1458.7903703703705,1791.67,586.6365726363957,1791.67,105.15,54,0,2,0,0
11695.2,779.6800000000001,1010.59,436.31839352538356,1423.33,10.78,15,0,3,0,1
14626.609999999999,696.505238095238,606.7,627.3647938450088,1281.62,-994.85,20,1,2,1,1
74844.14,1100.6491176470588,1131.45,172.06002182278607,1807.57,292.03,68,0,2,0,0
14182.15,506.5053571428571,486.92,361.43476058498715,1754.88,-476.53,27,1,2,1,0
7361.76,669.2509090909091,919.58,827.6951480038354,1566.08,-1379.49,10,1,2,1,1
4435.59,403.23545454545456,690.39,652.038779787884,1447.05,-1024.78,10,1,2,1,1
6054.68,550.4254545454546,667.79,396.9117615632884,781.35,-619.39,10,1,2,1,1
12409.12,620.456,718.19,551.2338483362382,1563.15,-1175.55,19,1,2,1,0
6266.88,522.24,434.16999999999996,303.51060373868023,993.93,134.44,12,0,2,0,0
19554.87,931.1842857142857,945.24,340.94396452454515,1834.71,134.4,21,0,6,0,1
8169.349999999999,742.6681818181818,718.15,523.7846170291407,1783.42,159.27,11,0,2,0,0
11994.08,749.63,668.2,415.49574436649374,1498.28,168.05,16,0,2,0,0
10641.54,760.11,816.325,507.7644478571657,1276.68,-722.12,13,1,2,1,0
6919.43,461.29533333333336,630.47,756.7779109003293,1265.7,-1384.48,12,3,2,3,1
12188.86,870.6328571428572,906.31,368.22008089704207,1201.71,44.48,14,0,2,0,0
15445.48,772.274,682.75,433.2528731085831,1962.94,61.67,20,0,7,0,1
11299.56,753.304,714.26,365.6555809540682,1481.93,207.55,15,0,2,0,0
5620.96,468.41333333333336,666.8599999999999,733.2469235509752,1510.78,-1510.78,11,1,2,1,0
9944.55,764.9653846153846,812.56,419.69217947235614,1520.93,29.67,13,0,2,0,0
5551.98,462.66499999999996,393.19,299.9898651772938,1003.18,33.11,12,0,2,0,0
6949.79,694.979,607.36,306.79710184238843,1225.34,146.15,10,0,2,0,0
9291.23,844.6572727272727,879.19,675.4116982713714,1784.36,-719.79,10,1,2,1,0
8604.17,614.5835714285714,562.1,490.2093107989239,1415.99,-615.02,13,1,2,1,0
7143.8,285.752,312.76,860.643702566089,1537.29,-1350.15,19,6,2,6,1
15854.46,834.4452631578947,1097.62,920.1711214307938,2097.52,-1707.15,17,2,3,2,1
12129.93,933.0715384615385,833.85,588.6972926279141,1807.56,266.57,13,0,2,0,0
12780.58,983.1215384615384,1154.25,568.9575736650047,1666.62,-526.77,12,1,2,1,0
8620.24,507.0729411764706,402.8,615.2922769075351,1438.86,-865.08,15,2,2,2,0
10226.72,639.17,642.51,465.62535717033285,1275.52,-650.26,15,1,2,1,0
9719.41,809.9508333333333,827.465,314.54865909045947,1375.96,387.96,12,0,3,0,1
8369.72,321.91230769230765,295.61,270.9614439924277,1076.89,102.57,26,0,2,0,0
8466.07,604.7192857142857,678.5450000000001,474.69561083456887,1144.03,-794.59,13,1,2,1,0
7785.59,556.1135714285714,620.995,349.12948348730146,1025.14,-250.41,13,1,2,1,0
7185.34,479.0226666666667,462.03,262.74005783736317,979.07,-114.88,14,1,2,1,0
13555.88,797.4047058823529,665.01,359.4518848559158,1701.11,136.33,17,0,7,0,1
7664.759999999999,638.7299999999999,736.085,440.7186196532782,1264.25,-266.56,11,1,2,1,0
16268.58,856.2410526315789,845.75,413.38151920599046,1477.39,210.73,19,0,7,0,1
10677.2,821.323076923077,767.04,454.6211778390263,1503.17,360.82,13,0,2,0,0
7743.32,553.0942857142857,720.35,685.1980429011779,1303.77,-614.18,11,3,2,3,1
4264.15,473.7944444444444,608.42,466.1590062980418,1021.29,-248.19,8,1,2,1,0
18930.38,676.085,760.87,383.8874382815494,1442.86,-414.91,27,1,3,1,1
12274.13,818.2753333333333,865.18,896.786757252698,1676.04,-1307.17,13,2,2,2,1
10729.8,766.4142857142857,798.05,369.68275621370043,1392.79,68.15,14,0,2,0,0
6575.32,505.7938461538461,285.08,350.59307469720653,982.6,135.41,13,0,2,0,0
8150.24,582.16,527.9,267.4464998404785,1222.94,146.15,14,0,2,0,0
7011.88,876.485,858.4849999999999,444.3002052023577,1445.3,205.97,8,0,2,0,0
11629.06,646.0588888888889,677.2,452.6212521964355,1218.73,28.65,18,0,3,0,1
9438.41,674.1721428571428,786.0550000000001,441.5194180271746,1537.13,97.48,14,0,2,0,0
13830.960000000001,531.96,423.62,423.00997804779973,1356.95,155.86,26,0,7,0,1
7763.32,705.7563636363636,614.95,378.99598766405774,1695.42,305.94,11,0,6,0,1
7613.34,585.6415384615385,563.02,549.641716269883,1531.45,-908.79,12,1,2,1,0
10089.19,720.6564285714286,574.185,470.9334731655865,1585.45,16.9,14,0,2,0,0
10576.28,661.0175,659.85,380.54900838131215,1233.74,226.23,16,0,6,0,1
9122.42,506.80111111111114,426.455,350.1358908109635,1135.89,-471.89,17,1,2,1,0
5023.42,386.41692307692307,320.09,327.43285256635994,992.47,-209.15,12,1,2,1,0
7056.8099999999995,641.5281818181818,755.82,569.4044112547458,1408.76,-482.25,10,1,2,1,0
5711.139999999999,634.571111111111,736.64,244.45939762281816,934.54,76.34,9,0,2,0,0
8233.84,748.5309090909091,805.57,949.4506719304015,1762.54,-1459.84,10,1,2,1,1
10904.2,838.7846153846154,943.87,460.7174918648699,1453.13,154.15,13,0,2,0,0
5565.200000000001,397.5142857142858,432.485,657.4919958765721,1264.49,-1259.61,12,2,2,2,0
13906.05,818.0029411764706,637.06,370.2317050470675,1472.49,301.17,17,0,2,0,0
21075.64,1170.868888888889,1521.14,483.85943773067584,1521.14,81.53,18,0,2,0,0
9302.44,581.4025,498.02,457.8304126274997,1113.82,-359.51,15,1,2,1,0
7946.17,611.2438461538461,616.65,418.515740893507,1500.38,161.18,13,0,2,0,0
7232.2,657.4727272727273,563.03,448.29523359257144,1706.81,172.24,11,0,2,0,0
5331.12,355.408,242.2,388.30283855700645,1259.69,34.23,15,0,2,0,0
3211.46,267.62166666666667,453.01,672.0497507535277,1147.84,-1099.11,10,2,2,2,1
8413.42,600.9585714285714,890.78,921.7327772596162,1579.29,-1110.01,11,3,2,3,1
9203.28,657.3771428571429,766.895,672.3378277259199,1356.75,-1346.06,13,1,3,1,1
11044.06,788.8614285714285,1002.7,570.1965153261724,1681.07,51.01,14,0,2,0,0
12225.98,394.3864516129032,370.38,335.20952853947324,1636.37,10.81,31,0,3,0,1
9780.63,652.0419999999999,448.52,450.1214140048375,1667.47,115.81,15,0,2,0,0
11762.82,691.9305882352941,686.06,372.33855641523667,1453.74,113.1,17,0,7,0,1
12238.15,719.8911764705882,613.89,246.41946237265716,1197.57,184.7,17,0,2,0,0
15332.08,1022.1386666666666,1185.41,392.6266558316231,1735.55,376.62,15,0,2,0,0
11263.76,750.9173333333333,641.94,421.129752222123,1643.62,107.34,15,0,3,0,1
5857.19,650.7988888888889,739.48,705.64891827389,1278.01,-912.62,8,1,2,1,1
6444.5,537.0416666666666,711.12,613.3041890498226,1150.63,-1150.63,11,1,2,1,0
18924.620000000003,788.5258333333335,601.84,517.3687753381795,1472.91,-673.01,23,1,2,1,1
20144.01,915.6368181818181,975.65,277.88150651099926,1808.63,261.48,22,0,2,0,0
7277.1,519.7928571428572,597.26,628.1460687112216,1134.02,-1403.78,13,1,2,1,1
35499.76,986.1044444444445,1200.72,436.97956984897684,1429.1,-662.36,35,1,2,1,0
2986.2200000000003,248.8516666666667,134.885,709.6943902430286,1034.12,-1034.12,10,2,2,2,0
6643.37,474.52642857142854,610.56,722.3477470518469,1459.81,-1459.81,12,2,2,2,1
4999.59,357.11357142857145,440.08,660.7403832718745,1292.02,-765.64,11,3,3,3,1
