alertID,reason,accountID,isMain,isSAR,modelID,minAmount,maxAmount,startStep,endStep,scheduleID,bankID,sourceType
0,fan_out,57285,true,true,1,200.00,200.00,64,310,2,bank,CASH
0,fan_out,83001,false,true,1,200.00,200.00,64,310,2,bank,CASH
0,fan_out,12659,false,true,1,200.00,200.00,64,310,2,bank,CASH
0,fan_out,32364,false,true,1,200.00,200.00,64,310,2,bank,CASH
0,fan_out,1413,false,true,1,200.00,200.00,64,310,2,bank,CASH
0,fan_out,11732,false,true,1,200.00,200.00,64,310,2,bank,CASH
0,fan_out,12752,false,true,1,200.00,200.00,64,310,2,bank,CASH
1,fan_out,83053,true,true,1,300.00,300.00,0,358,2,bank,CASH
1,fan_out,98309,false,true,1,300.00,300.00,0,358,2,bank,CASH
1,fan_out,61277,false,true,1,300.00,300.00,0,358,2,bank,CASH
1,fan_out,73799,false,true,1,300.00,300.00,0,358,2,bank,CASH
1,fan_out,62869,false,true,1,300.00,300.00,0,358,2,bank,CASH
1,fan_out,18508,false,true,1,300.00,300.00,0,358,2,bank,CASH
1,fan_out,80256,false,true,1,300.00,300.00,0,358,2,bank,CASH
2,fan_out,80809,true,true,1,100.00,100.00,8,17,2,bank,CASH
2,fan_out,76754,false,true,1,100.00,100.00,8,17,2,bank,CASH
2,fan_out,11713,false,true,1,100.00,100.00,8,17,2,bank,CASH
2,fan_out,84358,false,true,1,100.00,100.00,8,17,2,bank,CASH
2,fan_out,88059,false,true,1,100.00,100.00,8,17,2,bank,CASH
2,fan_out,74533,false,true,1,100.00,100.00,8,17,2,bank,CASH
2,fan_out,82016,false,true,1,100.00,100.00,8,17,2,bank,CASH
3,fan_out,37156,true,true,1,400.00,400.00,3,205,2,bank,CASH
3,fan_out,16918,false,true,1,400.00,400.00,3,205,2,bank,CASH
3,fan_out,58492,false,true,1,400.00,400.00,3,205,2,bank,CASH
3,fan_out,7037,false,true,1,400.00,400.00,3,205,2,bank,CASH
3,fan_out,31842,false,true,1,400.00,400.00,3,205,2,bank,CASH
3,fan_out,324,false,true,1,400.00,400.00,3,205,2,bank,CASH
3,fan_out,79918,false,true,1,400.00,400.00,3,205,2,bank,CASH
4,fan_out,11228,true,true,1,100.00,100.00,40,228,2,bank,CASH
4,fan_out,51993,false,true,1,100.00,100.00,40,228,2,bank,CASH
4,fan_out,55308,false,true,1,100.00,100.00,40,228,2,bank,CASH
4,fan_out,68831,false,true,1,100.00,100.00,40,228,2,bank,CASH
4,fan_out,28026,false,true,1,100.00,100.00,40,228,2,bank,CASH
4,fan_out,13419,false,true,1,100.00,100.00,40,228,2,bank,CASH
4,fan_out,73629,false,true,1,100.00,100.00,40,228,2,bank,CASH
5,fan_out,36455,true,true,1,400.00,400.00,50,319,2,bank,CASH
5,fan_out,46633,false,true,1,400.00,400.00,50,319,2,bank,CASH
5,fan_out,38457,false,true,1,400.00,400.00,50,319,2,bank,CASH
